COD_MUNICIPIO;UF;DAT_HORA_AUTO_INFRACAO;DT_FATO_INFRACIONAL;CD_TERMOS_EMBARGOS;CD_TERMOS_APREENSAO;SIT_CANCELADO;DES_STATUS_FORMULARIO;TIPO_INFRACAO;INFRACAO_AREA;COD_INFRACAO;CPF_CNPJ_INFRATOR;VAL_AUTO_INFRACAO
1100098;RO;2017-03-30;;;;N;Lavrado;Flora;Desmatamento;409905;pid_dee790fa35d7db21;107126,00
1100023;RO;2017-07-04;;174782-C;;N;Lavrado;Flora;Desmatamento;431003;pid_4c326f5a311d37a4;376500,00
1300029;AM;2017-03-06;;;;S;Excluído;Outras;Desmatamento;910005;pid_24f3064ff10f7282;111,11
2201150;PI;2017-02-22;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_76eb7f027ea05047;900,00
2211001;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_275a586036db45d1;3000,00
2200202;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_6c93dd51b27b2fc7;3000,00
2211001;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_79a1223acb39316e;3000,00
2204303;PI;2017-08-01;;;;N;Lavrado;Flora;Desmatamento;409999;pid_86629919c4a0ff3b;5000,00
2211001;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_e1683e7b12b2acde;4500,00
2933307;BA;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_3447a0b00a912498;2500,00
2211001;PI;2017-06-13;;;;N;Lavrado;Flora;Desmatamento;409999;pid_26cca0057341e4f6;5000,00
2208304;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_8022a824c980152f;2500,00
2200509;PI;2017-06-13;;;;N;Lavrado;Flora;Desmatamento;409999;pid_aaf70c476b9eee1b;3000,00
2211001;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_711cdd383ec3ba4f;2500,00
2203909;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_5279ffa43949f60d;3500,00
2211001;PI;2017-04-10;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_e3e011d6152461c8;3000,00
