COD_MUNICIPIO;UF;DAT_HORA_AUTO_INFRACAO;DT_FATO_INFRACIONAL;CD_TERMOS_EMBARGOS;CD_TERMOS_APREENSAO;SIT_CANCELADO;DES_STATUS_FORMULARIO;TIPO_INFRACAO;INFRACAO_AREA;COD_INFRACAO;CPF_CNPJ_INFRATOR;VAL_AUTO_INFRACAO
2100907;MA;2011-03-09;;;464135-C;N;Lavrado;Fauna;Outros;509902;pid_db317c973d051a6c;10000,00
2207702;PI;2011-06-17;;;;N;Lavrado;Fauna;;509902;pid_1b46f7609a7f2afe;5000,00
2205706;PI;2011-09-01;;;;N;Lavrado;Flora;Desmatamento;409904;pid_839212c7c3a8a1f9;6948,00
2207702;PI;2011-09-30;;464139-C;;N;Lavrado;Cadastro Técnico Federal;;209905;pid_b0a05cc062ba1274;200000,00
2211001;PI;2011-12-15;;;;N;Lavrado;Controle Ambiental;Desmatamento;609906;pid_f7bce484927f6da6;50000,00
5106299;MT;2011-02-04;;388295-C;;N;Lavrado;Fauna;Outros;509999;pid_a8451773d8cc732b;60100,00
5106240;MT;2011-04-13;;388296-C;;N;Lavrado;Flora;Desmatamento;409907;pid_b5abd5e1ceba0fcf;1940000,00
5106240;MT;2011-04-13;;388297-C;;N;Lavrado;Flora;Desmatamento;409907;pid_b5abd5e1ceba0fcf;762000,00
5106265;MT;2011-06-30;;;;N;Lavrado;Cadastro Técnico Federal;Outros;209904;pid_272027213868e576;3000,00
5103304;MT;2011-02-28;;448306-C;;N;Lavrado;Flora;Desmatamento;409907;pid_f1937955a1bf9b86;15280,00
5103304;MT;2011-03-01;;;;N;Lavrado;Flora;;409904;pid_c40d925ae54f590e;12000,00
2504801;PB;2011-02-01;;;411469-C;N;Lavrado;Fauna;Desmatamento;509901;pid_f53a01b312f9a9be;15000,00
2500700;PB;2011-02-03;;;411470-C;N;Lavrado;Flora;;409901;pid_2ebbdb5c0ba2a0e2;2500,00
3509502;SP;2011-04-01;;;;N;Lavrado;Org. Gen. Modific. e Biopirataria;;850001;pid_ad6c8054790009cb;50000,00
1504976;PA;2011-06-29;;411472-C;418220-C;N;Lavrado;Flora;Desmatamento;409907;pid_c2176584602c5907;45000,00
5208004;GO;2011-02-28;;201378-C;201377-C;N;Lavrado;Controle Ambiental;Outros;609906;pid_9408b41a0c63da4c;2000,00
5208004;GO;2011-03-15;;201380-C;;N;Lavrado;Flora;Desmatamento;409998;pid_ea40dc650ccdf2f2;
5208004;GO;2011-03-25;;201381-C;;N;Lavrado;Flora;Desmatamento;409901;pid_13017a61f8c1f8c8;10000,00
5300108;DF;2011-06-01;;;;N;Lavrado;Flora;;409905;pid_839f32d82d9d4a32;709371,60
5300108;DF;2011-12-06;;;573024-C;N;Lavrado;Fauna;;509902;pid_caf7c4719b82dada;6000,00
