COD_MUNICIPIO;UF;DAT_HORA_AUTO_INFRACAO;DT_FATO_INFRACIONAL;CD_TERMOS_EMBARGOS;CD_TERMOS_APREENSAO;SIT_CANCELADO;DES_STATUS_FORMULARIO;TIPO_INFRACAO;INFRACAO_AREA;COD_INFRACAO;CPF_CNPJ_INFRATOR;VAL_AUTO_INFRACAO
4102901;PR;2020-08-01;;700749-E;;S;Cancelado;Flora;;409999;pid_f4508ca980229bad;5000,00
4108502;PR;2020-08-01;;700752-E;700750-E;S;Cancelado;Flora;;409999;pid_b0675cdc6e7f3273;21000,00
4108502;PR;2020-08-04;;;;S;Cancelado;;;;pid_b0675cdc6e7f3273;511500,00
2302800;CE;2020-02-07;;;;N;Lavrado;Fauna;Desmatamento;509902;pid_40e06503d2d510ba;500,00
2304459;CE;2020-01-30;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;209904;pid_22e0f83a5a309187;1000,00
2303204;CE;2020-01-13;;;;N;Lavrado;Flora;Desmatamento;409903;pid_f301047161d63c47;9000,00
2307254;CE;2020-01-13;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;209904;pid_9917c4fcd096b683;5000,00
2304400;CE;2020-01-29;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;209904;pid_a7d13c0bc2e23e7e;1000,00
2304400;CE;2020-01-29;;;;S;Cancelado;Cadastro Técnico Federal;Desmatamento;209904;pid_8def31da4bb4a5b5;4000,00
2304400;CE;2020-01-06;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;209901;pid_f0af365d220199af;9000,00
2307254;CE;2020-01-13;;;;N;Lavrado;Flora;Desmatamento;409904;pid_9917c4fcd096b683;3756,90
2313500;CE;2020-01-07;;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;209904;pid_be366afc3ceaa272;10000,00
2304400;CE;2020-01-15;;;;N;Lavrado;Fauna;Desmatamento;509902;pid_0bda1f6b01fe10c9;1000,00
2303709;CE;2020-01-17;;;;N;Lavrado;Flora;Desmatamento;409907;pid_ae39f6cdc4b2e7de;8400,00
2302800;CE;2020-02-07;;;;S;Cancelado;Fauna;Desmatamento;509902;pid_40e06503d2d510ba;2000,00
3127701;MG;2020-02-19;2017-04-01;;;N;Lavrado;Cadastro Técnico Federal;Não se Aplica;910000;pid_5bf92560b6cdfdaf;2000,00
3127701;MG;2020-02-19;2016-04-01;;;N;Lavrado;Cadastro Técnico Federal;Não se Aplica;910000;pid_5bf92560b6cdfdaf;2000,00
3127701;MG;2020-02-20;2019-04-01;;;N;Lavrado;Cadastro Técnico Federal;Não se Aplica;910000;pid_5bf92560b6cdfdaf;2000,00
3127701;MG;2020-02-19;2018-04-01;;;N;Lavrado;Cadastro Técnico Federal;Não se Aplica;910000;pid_5bf92560b6cdfdaf;2000,00
3103504;MG;2020-02-26;2016-03-31;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_c6fb589a4ee8cb49;2000,00
3103504;MG;2020-02-26;2017-03-31;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_c6fb589a4ee8cb49;2000,00
3103504;MG;2020-02-26;2018-03-31;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_c6fb589a4ee8cb49;2000,00
3127701;MG;2020-02-27;2015-04-01;;;N;Lavrado;Cadastro Técnico Federal;Não se Aplica;910000;pid_5bf92560b6cdfdaf;2000,00
1303304;AM;2020-01-29;2020-01-21;;JRC4M2KB;N;Lavrado;Flora;Não se Aplica;409999;pid_8c6d2ed9e293a02d;1000,00
2207702;PI;2020-02-27;2020-02-27;;;N;Lavrado;Administração Ambiental;Atividade;910004;pid_6c4c940d80fb5572;11500,00
3103504;MG;2020-02-26;2019-03-31;;;N;Lavrado;Cadastro Técnico Federal;Desmatamento;910000;pid_c6fb589a4ee8cb49;2000,00
3515707;SP;2020-02-27;2018-12-20;;;N;Lavrado;Administração Ambiental;Atividade;910004;pid_f80d30ded14b2a29;12000,00
5214838;GO;2020-02-07;2020-02-07;;;N;Lavrado;Flora;Desmatamento;409999;pid_1222c90b1fb0e4a7;1000,00
3550308;SP;2020-02-27;2019-03-01;;;N;Lavrado;Administração Ambiental;Atividade;910004;pid_80b530ea936ecdf7;12000,00
4111001;PR;2020-02-06;2020-02-06;;;N;Lavrado;Cadastro Técnico Federal;Não se Aplica;910000;pid_7d3705f780ed6ca7;7200,00
5103403;MT;2020-01-30;2020-01-30;;;S;Cancelado;Fauna;Não se Aplica;509999;pid_bb9f10b8f257680b;3000,00
