COD_MUNICIPIO;UF;DAT_HORA_AUTO_INFRACAO;DT_FATO_INFRACIONAL;CD_TERMOS_EMBARGOS;CD_TERMOS_APREENSAO;SIT_CANCELADO;DES_STATUS_FORMULARIO;TIPO_INFRACAO;INFRACAO_AREA;COD_INFRACAO;CPF_CNPJ_INFRATOR;VAL_AUTO_INFRACAO
2201705;PI;2010-03-25;;;464119-C,464120-C;N;Lavrado;Flora;Outros;409905;pid_d68b6efc7ffff125;7500,00
1504976;PA;2010-04-06;;;;N;Lavrado;Flora;;409905;pid_8e60e57d5887bd9a;7500,00
2202703;PI;2010-06-23;;;464124-C;N;Lavrado;Flora;;409905;pid_04987de2f5f78500;1800,00
2207702;PI;2010-08-20;;464126-C;;N;Lavrado;Controle Ambiental;;609906;pid_e3812f3d3f6983da;5000,00
2202083;PI;2010-09-17;;464132-C;;N;Lavrado;Ord. Urbano e Patr. Cultural;;309903;pid_c52c2deda77e3670;50000,00
2205706;PI;2010-09-24;;;;N;Lavrado;Cadastro Técnico Federal;Outros;209903;pid_b38dc5600884a792;100000,00
2207702;PI;2010-10-20;;;;N;Lavrado;Cadastro Técnico Federal;;209905;pid_0c8f988e065bdbac;200000,00
2207702;PI;2010-10-20;;;;N;Lavrado;Cadastro Técnico Federal;;209905;pid_d9b3aed5c11d0c5f;200000,00
2207702;PI;2010-10-20;;;;N;Lavrado;Cadastro Técnico Federal;;209905;pid_5c0f2c12b2f3d56d;200000,00
2205706;PI;2010-12-27;;464134-C;;N;Lavrado;Controle Ambiental;Outros;609903;pid_f8315f54f270bbb6;3000,00
2205706;PI;2010-12-27;;;;N;Lavrado;Controle Ambiental;;609903;pid_38f386babafaf560;3000,00
1507300;PA;2010-03-18;;440254-C,440255-C,440256-C;;N;Lavrado;;;;pid_a3de6b4667270c17;9365000,00
1507300;PA;2010-03-18;;;;N;Lavrado;Unidade de Conservação;Desmatamento;909908;pid_a3de6b4667270c17;100000,00
1507300;PA;2010-03-18;;;;N;Lavrado;Flora;Queimada;409913;pid_a3de6b4667270c17;1780000,00
1507300;PA;2010-03-18;;;;N;Lavrado;Flora;;409907;pid_a3de6b4667270c17;9365000,00
