COD_MUNICIPIO;UF;DAT_HORA_AUTO_INFRACAO;DT_FATO_INFRACIONAL;CD_TERMOS_EMBARGOS;CD_TERMOS_APREENSAO;SIT_CANCELADO;DES_STATUS_FORMULARIO;TIPO_INFRACAO;INFRACAO_AREA;COD_INFRACAO;CPF_CNPJ_INFRATOR;VAL_AUTO_INFRACAO
5101902;MT;2019-10-21;;;;N;Lavrado;Flora;;409999;pid_f5945bec3e22b36d;415000,00
1505650;PA;2019-04-15;;;;N;Lavrado;Pesca;Desmatamento;709999;pid_658dbf11fd2a9045;510500,00
1506807;PA;2019-06-14;;;685559-E,685560-E;N;Lavrado;Flora;Desmatamento;409999;pid_691153e0aa5439bb;2332,80
1506807;PA;2019-06-17;;;;N;Lavrado;Flora;Desmatamento;409999;pid_dfc544d72b4e9ac2;50500,00
1506807;PA;2019-06-17;;;685563-E;N;Lavrado;Flora;Desmatamento;409999;pid_dfc544d72b4e9ac2;2916,00
1500602;PA;2019-01-30;;;685543-E;N;Lavrado;Flora;Desmatamento;409904;pid_60217e118583bd58;61333,90
1503077;PA;2019-02-22;;;685546-E,685547-E;N;Lavrado;Flora;Desmatamento;409999;pid_8fb09bf9cdbb9873;2961,00
1506807;PA;2019-02-22;;;685546-E,685547-E;N;Lavrado;Flora;Desmatamento;409999;pid_38b1a65667f8cbfb;4599,00
2408102;RN;2019-01-10;;;716361-E;N;Lavrado;Pesca;;709999;pid_d73f62474c68e570;2100,00
2408102;RN;2019-01-11;;;716362-E;N;Lavrado;Pesca;;709999;pid_a12c65c52eff4bd6;2100,00
2401404;RN;2019-01-22;;;716363-E;N;Lavrado;Fauna;;509999;pid_e15d43a44cfd21bf;1820,00
2401404;RN;2019-01-23;;;716364-E;N;Lavrado;Fauna;;509999;pid_00c87a40909e43c3;1900,00
2401404;RN;2019-01-23;;;716365-E;N;Lavrado;Fauna;;509999;pid_99b39853242fa7e1;1820,00
2401404;RN;2019-01-23;;;716366-E;N;Lavrado;Fauna;;509999;pid_964f56d1c8fc9a43;1900,00
2402204;RN;2019-01-25;;;716367-E;N;Lavrado;Fauna;;509999;pid_15edd9f8452e2f57;1760,00
1302405;AM;2019-03-22;;716371-E;;N;Lavrado;Flora;Desmatamento;409999;pid_e70dd9ae1e12d160;105000,00
1302405;AM;2019-03-22;;716372-E;;N;Lavrado;Flora;;409999;pid_2627581666a45a3c;575000,00
1302405;AM;2019-03-25;;716373-E;;N;Lavrado;Flora;Desmatamento;409999;pid_531f4630039a9205;425000,00
1302405;AM;2019-03-25;;716374-E;;N;Lavrado;Flora;Desmatamento;409999;pid_2308aa12f385223e;225000,00
1302405;AM;2019-03-25;;716375-E;;N;Lavrado;Flora;Desmatamento;409999;pid_95607df54d37f64a;1150000,00
1302405;AM;2019-03-26;;716376-E;;N;Lavrado;Flora;Desmatamento;409999;pid_aff138d72c9f36e2;120000,00
1302405;AM;2019-03-26;;716377-E;;N;Lavrado;Flora;Desmatamento;409999;pid_a90957d3fbd6ef44;320000,00
1302405;AM;2019-03-26;;716378-E;;N;Lavrado;Flora;Desmatamento;409999;pid_b1a751ba6f91c90c;1145000,00
1302405;AM;2019-03-26;;716379-E;;N;Lavrado;Flora;Desmatamento;409999;pid_80235de398cb3324;240000,00
1302405;AM;2019-03-26;;716380-E;;N;Lavrado;Flora;Desmatamento;409999;pid_a68121ba666186d5;1570000,00
1100403;RO;2019-04-06;;716381-E,716389-E;;S;Cancelado;Flora;;409999;;130000,00
1100023;RO;2019-04-06;;716382-E;;S;Cancelado;Flora;;409999;;55000,00
1100023;RO;2019-04-06;;716383-E;;S;Cancelado;Flora;;409999;;125000,00
1100023;RO;2019-04-12;;716385-E;;N;Lavrado;Flora;;409999;;65000,00
1100023;RO;2019-04-13;;716386-E;716387-E;N;Lavrado;Flora;Desmatamento;409999;pid_3666e80787195b1d;230000,00
1100403;RO;2019-04-15;;716381-E,716389-E;;N;Lavrado;Flora;;409999;;180000,00
1100023;RO;2019-04-15;;716390-E;;N;Lavrado;Flora;;409999;;125000,00
2407104;RN;2019-05-11;;;716391-E;N;Lavrado;Fauna;Desmatamento;509999;pid_742ccfc79e2dea3c;1500,00
2407104;RN;2019-05-11;;;716394-E;N;Lavrado;Fauna;;509999;;1000,00
2407104;RN;2019-05-11;;;716395-E;N;Lavrado;Fauna;Desmatamento;509999;pid_0d42f56c34ac6f33;2000,00
1505486;PA;2019-06-09;;;716400-E,721827-E;N;Lavrado;Flora;Desmatamento;409999;pid_c77d6b6a63516a15;4000,00
1505809;PA;2019-06-12;;716402-E;;S;Cancelado;Flora;Desmatamento;409999;;1895000,00
1505809;PA;2019-06-14;;716404-E;721821-E;N;Lavrado;Flora;Desmatamento;409999;pid_4d34195e00ba2095;2420000,00
1500859;PA;2019-06-18;;;721824-E;N;Lavrado;Flora;Desmatamento;409999;pid_5ab85c0c07936f95;113400,00
1500602;PA;2019-06-28;;721828-E;;N;Lavrado;Flora;Desmatamento;409999;pid_adfc8a5f14f644d1;3375000,00
1500602;PA;2019-07-01;;721829-E;;N;Lavrado;Flora;Desmatamento;409999;pid_c6674f466a5ac03a;75000,00
1507300;PA;2019-07-02;;721830-E;;N;Lavrado;Flora;Desmatamento;409999;pid_8614e7d5019ac5b6;250000,00
1507300;PA;2019-07-15;;716414-E;716415-E;N;Lavrado;Flora;Desmatamento;409999;pid_48bd852792059de7;1410000,00
